artists,name,ranking,year
Lil Wayne,HOW TO LOVE,23,2011
Adele,SOMEONE LIKE YOU,24,2011
OneRepublic,GOOD LIFE,25,2011
Bruno Mars,THE LAZY SONG,26,2011
Britney Spears,TILL THE WORLD ENDS,27,2011
Lupe Fiasco,THE SHOW GOES ON,28,2011
Lady Gaga,THE EDGE OF GLORY,29,2011
Ke$ha,WE R WHO WE R,30,2011
Wiz Khalifa,BLACK AND YELLOW,31,2011
Hot Chelle Rae,TONIGHT TONIGHT,32,2011
Ke$ha,BLOW,33,2011
Bad Meets Evil Featuring Bruno Mars,LIGHTERS,34,2011
The Band Perry,IF I DIE YOUNG,35,2011
Gym Class Heroes Featuring Adam Levine,STEREO HEARTS,36,2011
The Black Eyed Peas,THE TIME (DIRTY BIT),37,2011
Diddy - Dirty Money Featuring Skylar Grey,COMING HOME,38,2011
Pitbull Featuring T-Pain,HEY BABY (DROP IT TO THE FLOOR),39,2011
Rihanna,ONLY GIRL (IN THE WORLD),40,2011
Lil Wayne Featuring Cory Gunz,6 FOOT 7 FOOT,41,2011
Lady Antebellum,JUST A KISS,42,2011
Jason Aldean,DIRT ROAD ANTHEM,43,2011
Taio Cruz,DYNAMITE,44,2011
Waka Flocka Flame Featuring Roscoe Dash & Wale,NO HANDS,45,2011
Britney Spears,I WANNA GO,46,2011
"""DJ Khaled Featuring Drake, Rick Ross & Lil Wayne""",I'M ON ONE,47,2011
Cobra Starship Featuring Sabi,YOU MAKE ME FEEL...,48,2011
Chris Brown,YEAH 3X,49,2011
Nicki Minaj Featuring Drake,MOMENT 4 LIFE,50,2011
Dr. Dre Featuring Eminem & Skylar Grey,I NEED A DOCTOR,51,2011
Nelly,JUST A DREAM,52,2011
Kelly Rowland Featuring Lil Wayne,MOTIVATION,53,2011
Edward Maya & Vika Jigulina,STEREO LOVE,54,2011
Christina Perri,JAR OF HEARTS,55,2011
Wiz Khalifa,ROLL UP,56,2011
LMFAO,SEXY AND I KNOW IT,57,2011
Far*East Movement Featuring Ryan Tedder,ROCKETEER,58,2011
Kanye West,ALL OF THE LIGHTS,59,2011
Britney Spears,HOLD IT AGAINST ME,60,2011
Usher,MORE,61,2011
Avril Lavigne,WHAT THE HELL,62,2011
Tinie Tempah Featuring Eric Turner,WRITTEN IN THE STARS,63,2011
Trey Songz Featuring Nicki Minaj,BOTTOMS UP,64,2011
Usher Featuring Pitbull,DJ GOT US FALLIN' IN LOVE,65,2011
The Script,FOR THE FIRST TIME,66,2011
Blake Shelton,HONEY BEE,67,2011
Jason Aldean With Kelly Clarkson,DON'T YOU WANNA STAY,68,2011
Rihanna Featuring Calvin Harris,WE FOUND LOVE,69,2011
Keri Hilson,PRETTY GIRL ROCK,70,2011
Lady Gaga,YOU AND I,71,2011
Far*East Movement Featuring Cataracs & Dev,LIKE A G6,72,2011
David Guetta Featuring Usher,WITHOUT YOU,73,2011
Taylor Swift,BACK TO DECEMBER,74,2011
Katy Perry,TEENAGE DREAM,75,2011
Eli Young Band,CRAZY GIRL,76,2011
Rihanna,CHEERS (DRINK TO THAT),77,2011
Selena Gomez & The Scene,WHO SAYS,78,2011
Jake Owen,BAREFOOT BLUE JEAN NIGHT,79,2011
Zac Brown Band Featuring Jimmy Buffett,KNEE DEEP,80,2011
Luke Bryan,COUNTRY GIRL (SHAKE IT FOR ME),81,2011
Brad Paisley Duet With Carrie Underwood,REMIND ME,82,2011
Dev,IN THE DARK,83,2011
New Boyz Featuring The Cataracs & Dev,BACKSEAT,84,2011
Drake,HEADLINES,85,2011
Beyonce,BEST THING I NEVER HAD,86,2011
Jason Derulo,DON'T WANNA GO HOME,87,2011
David Guetta Featuring Flo Rida & Nicki Minaj,WHERE THEM GIRLS AT,88,2011
Chris Brown,SHE AIN'T YOU,89,2011
Rodney Atkins,TAKE A BACK ROAD,90,2011
Mike Posner,PLEASE DON'T GO,91,2011
Miguel,SURE THING,92,2011
Jessie J Featuring B.o.B,PRICE TAG,93,2011
Blake Shelton,GOD GAVE ME YOU,94,2011
Lil Wayne Featuring Drake,SHE WILL,95,2011
Thompson Square,ARE YOU GONNA KISS ME OR NOT,96,2011
Neon Trees,ANIMAL,97,2011
Kenny Chesney Featuring Grace Potter,YOU AND TEQUILA,98,2011
Zac Brown Band,COLDER WEATHER,99,2011
Gotye Featuring Kimbra,SOMEBODY THAT I USED TO KNOW,1,2012
Carly Rae Jepsen,CALL ME MAYBE,2,2012
fun. Featuring Janelle Monae,WE ARE YOUNG,3,2012
Maroon 5 Featuring Wiz Khalifa,PAYPHONE,4,2012
Ellie Goulding,LIGHTS,5,2012
The Wanted,GLAD YOU CAME,6,2012
Kelly Clarkson,STRONGER (WHAT DOESN'T KILL YOU),7,2012
Rihanna Featuring Calvin Harris,WE FOUND LOVE,8,2012
Nicki Minaj,STARSHIPS,9,2012
One Direction,WHAT MAKES YOU BEAUTIFUL,10,2012
Flo Rida Featuring Sia,WILD ONES,11,2012
Adele,SET FIRE TO THE RAIN,12,2012
LMFAO,SEXY AND I KNOW IT,13,2012
fun.,SOME NIGHTS,14,2012
Katy Perry,WIDE AWAKE,15,2012
Flo Rida,GOOD FEELING,16,2012
Flo Rida,WHISTLE,17,2012
Maroon 5,ONE MORE NIGHT,18,2012
Train,DRIVE BY,19,2012
Drake Featuring Lil Wayne,THE MOTTO,20,2012
Rihanna,WHERE HAVE YOU BEEN,21,2012
Neon Trees,EVERYBODY TALKS,22,2012
Drake Featuring Rihanna,TAKE CARE,23,2012
David Guetta Featuring Sia,TITANIUM,24,2012
Jason Mraz,I WON'T GIVE UP,25,2012
Bruno Mars,IT WILL RAIN,26,2012
"Kanye West, Big Sean, Pusha T, 2 Chainz",MERCY,27,2012
Justin Bieber,BOYFRIEND,28,2012
LMFAO Featuring Lauren Bennett & GoonRock,PARTY ROCK ANTHEM,29,2012
Alex Clare,TOO CLOSE,30,2012
Katy Perry,PART OF ME,31,2012
Snoop Dogg & Wiz Khalifa Featuring Bruno Mars,"YOUNG, WILD & FREE",32,2012
Taylor Swift,WE ARE NEVER EVER GETTING BACK TOGETHER,33,2012
Justin Bieber Featuring Big Sean,AS LONG AS YOU LOVE ME,34,2012
David Guetta Featuring Nicki Minaj,TURN ME ON,35,2012
Maroon 5 Featuring Christina Aguilera,MOVES LIKE JAGGER,36,2012
P!nk,BLOW ME (ONE LAST KISS),37,2012
Owl City & Carly Rae Jepsen,GOOD TIME,38,2012
Demi Lovato,GIVE YOUR HEART A BREAK,39,2012
Jay Z Kanye West,NI**AS IN PARIS,40,2012
Katy Perry,THE ONE THAT GOT AWAY,41,2012
Calvin Harris,FEEL SO CLOSE,42,2012
Adele,SOMEONE LIKE YOU,43,2012
Usher,SCREAM,44,2012
Tyga,RACK CITY,45,2012
Jessie J,DOMINO,46,2012
PSY,GANGNAM STYLE,47,2012
Pitbull Featuring Chris Brown,INTERNATIONAL LOVE,48,2012
Phillip Phillips,HOME,49,2012
David Guetta Featuring Usher,WITHOUT YOU,50,2012
Gym Class Heroes Featuring Neon Hitch,ASS BACK HOME,51,2012
Hunter Hayes,WANTED,52,2012
Luke Bryan,DRUNK ON YOU,53,2012
2 Chainz Featuring Drake,NO LIE,54,2012
Cher Lloyd,WANT U BACK,55,2012
Chris Brown,DON'T WAKE ME UP,56,2012
Big Sean Featuring Nicki Minaj,DANCE (A$$),57,2012
Eric Church,SPRINGSTEEN,58,2012
Karmin,BROKENHEARTED,59,2012
Gavin DeGraw,NOT OVER YOU,60,2012
Gym Class Heroes Featuring Adam Levine,STEREO HEARTS,61,2012
Pitbull,BACK IN TIME,62,2012
J. Cole,WORK OUT,63,2012
Adele,RUMOUR HAS IT,64,2012
Calvin Harris Featuring Ne-Yo,LET'S GO,65,2012
Carrie Underwood,GOOD GIRL,66,2012
Little Big Town,PONTOON,67,2012
The Lumineers,HO HEY,68,2012
Coldplay,PARADISE,69,2012
Carrie Underwood,BLOWN AWAY,70,2012
Adele,ROLLING IN THE DEEP,71,2012
Usher,CLIMAX,72,2012
Wiz Khalifa,"WORK HARD, PLAY HARD",73,2012
Ne-Yo,LET ME LOVE YOU (UNTIL YOU LEARN TO LOVE YOURSELF),74,2012
Nicki Minaj,POUND THE ALARM,75,2012
Kenny Chesney,COME OVER,76,2012
Trey Songz,HEART ATTACK,77,2012
Kirko Bangz,DRANK IN MY CUP,78,2012
Rihanna Featuring Chris Brown,BIRTHDAY CAKE,79,2012
B.o.B,SO GOOD,80,2012
Train,50 WAYS TO SAY GOODBYE,81,2012
Toby Keith,RED SOLO CUP,82,2012
Selena Gomez & The Scene,LOVE YOU LIKE A LOVE SONG,83,2012
Chris Brown,TURN UP THE MUSIC,84,2012
Ke$ha,DIE YOUNG,85,2012
T-Pain Featuring Wiz Khalifa & Lily Allen,5 O'CLOCK,86,2012
Christina Perri,A THOUSAND YEARS,87,2012
Jason Aldean,TAKE A LITTLE RIDE,88,2012
Rihanna,YOU DA ONE,89,2012
Havana Brown Featuring Pitbull,WE RUN THE NIGHT,90,2012
Imagine Dragons,IT'S TIME,91,2012
Ca$h Out,CASHIN' OUT,92,2012
Luke Bryan,I DON'T WANT THIS NIGHT TO END,93,2012
Rihanna,DIAMONDS,94,2012
Lee Brice,HARD TO LOVE,95,2012
Kip Moore,SOMETHIN' 'BOUT A TRUCK,96,2012
Miguel,ADORN,97,2012
Jason Aldean,FLY OVER STATES,98,2012
Eli Young Band,EVEN IF IT BREAKS YOUR HEART,99,2012
Macklemore & Ryan Lewis Featuring Wanz,THRIFT SHOP,1,2013
Robin Thicke Featuring T.I. + Pharrell,BLURRED LINES,2,2013
Imagine Dragons,RADIOACTIVE,3,2013
Baauer,HARLEM SHAKE,4,2013
Macklemore & Ryan Lewis Featuring Ray Dalton,CAN'T HOLD US,5,2013
Justin Timberlake,MIRRORS,6,2013
P!nk Featuring Nate Ruess,JUST GIVE ME A REASON,7,2013
Bruno Mars,WHEN I WAS YOUR MAN,8,2013
Florida Georgia Line Featuring Nelly,CRUISE,9,2013
Katy Perry,ROAR,10,2013
Bruno Mars,LOCKED OUT OF HEAVEN,11,2013
The Lumineers,HO HEY,12,2013
Rihanna Featuring Mikky Ekko,STAY,13,2013
Daft Punk Featuring Pharrell Williams,GET LUCKY,14,2013
Lorde,ROYALS,15,2013
Taylor Swift,I KNEW YOU WERE TROUBLE.,16,2013
Miley Cyrus,WE CAN'T STOP,17,2013
Miley Cyrus,WRECKING BALL,18,2013
Avicii,WAKE ME UP!,19,2013
Justin Timberlake Featuring JAY Z,SUIT & TIE,20,2013
Anna Kendrick,CUPS (PITCH PERFECT'S WHEN I'M GONE),21,2013
Jay Z Featuring Justin Timberlake,HOLY GRAIL,22,2013
will.i.am & Britney Spears,SCREAM & SHOUT,23,2013
Zedd Featuring Foxes,CLARITY,24,2013
AWOLNATION,SAIL,25,2013
Swedish House Mafia Featuring John Martin,DON'T YOU WORRY CHILD,26,2013
Rihanna,DIAMONDS,27,2013
Icona Pop Featuring Charli XCX,I LOVE IT,28,2013
Capital Cities,SAFE AND SOUND,29,2013
Bruno Mars,TREASURE,30,2013
Ariana Grande Featuring Mac Miller,THE WAY,31,2013
Drake,STARTED FROM THE BOTTOM,32,2013
Selena Gomez,COME & GET IT,33,2013
Drake Featuring Majid Jordan,"HOLD ON, WE'RE GOING HOME",34,2013
Maroon 5,DAYLIGHT,35,2013
Pitbull Featuring Christina Aguilera,FEEL THIS MOMENT,36,2013
Lady Gaga,APPLAUSE,37,2013
Maroon 5,ONE MORE NIGHT,38,2013
Lil Wayne Featuring Drake & Future,LOVE ME,39,2013
Fall Out Boy,MY SONGS KNOW WHAT YOU DID IN THE DARK (LIGHT EM UP),40,2013
"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",F**KIN PROBLEMS,41,2013
Justin Bieber Featuring Nicki Minaj,BEAUTY AND A BEAT,42,2013
Macklemore & Ryan Lewis Featuring Mary Lambert,SAME LOVE,43,2013
Calvin Harris Featuring Florence Welch,SWEET NOTHING,44,2013
Lana Del Rey & Cedric Gervais,SUMMERTIME SADNESS,45,2013
Phillip Phillips,HOME,46,2013
Imagine Dragons,IT'S TIME,47,2013
J. Cole Featuring Miguel,POWER TRIP,48,2013
Alicia Keys Featuring Nicki Minaj,GIRL ON FIRE,49,2013
Demi Lovato,HEART ATTACK,50,2013
Maroon 5,LOVE SOMEBODY,51,2013
Mumford & Sons,I WILL WAIT,52,2013
P!nk,TRY,53,2013
Darius Rucker,WAGON WHEEL,54,2013
PSY,GANGNAM STYLE,55,2013
Calvin Harris Featuring Ellie Goulding,I NEED YOUR LOVE,56,2013
Ke$ha,DIE YOUNG,57,2013
fun.,SOME NIGHTS,58,2013
Wale Featuring Tiara Thomas Or Rihanna,BAD,59,2013
Blake Shelton Featuring Pistol Annies & Friends,BOYS 'ROUND HERE,60,2013
Phillip Phillips,"GONE, GONE, GONE",61,2013
Imagine Dragons,DEMONS,62,2013
OneRepublic,COUNTING STARS,63,2013
Flo Rida,I CRY,64,2013
Of Monsters And Men,LITTLE TALKS,65,2013
Jason Derulo,THE OTHER SIDE,66,2013
Eminem,BERZERK,67,2013
Kelly Clarkson,CATCH MY BREATH,68,2013
Luke Bryan,CRASH MY PARTY,69,2013
Rihanna,POUR IT UP,70,2013
Taylor Swift,22,71,2013
Hunter Hayes,I WANT CRAZY,72,2013
Ylvis,THE FOX,73,2013
One Direction,BEST SONG EVER,74,2013
Ed Sheeran,THE A TEAM,75,2013
fun.,CARRY ON,76,2013
Tim McGraw With Taylor Swift,HIGHWAY DON'T CARE,77,2013
Luke Bryan,THAT'S MY KIND OF NIGHT,78,2013
Kendrick Lamar,SWIMMING POOLS (DRANK),79,2013
Blake Shelton,SURE BE COOL IF YOU DID,80,2013
Mariah Carey Featuring Miguel,#BEAUTIFUL,81,2013
Olly Murs Featuring Flo Rida,TROUBLEMAKER,82,2013
Ciara,BODY PARTY,83,2013
Miguel,ADORN,84,2013
The Script Featuring will.i.am,HALL OF FAME,85,2013
Ne-Yo,LET ME LOVE YOU (UNTIL YOU LEARN TO LOVE YOURSELF),86,2013
Rocko Featuring Future & Rick Ross,U.O.E.N.O.,87,2013
Emeli Sande,NEXT TO ME,88,2013
Miranda Lambert,MAMA'S BROKEN HEART,89,2013
Thomas Rhett,IT GOES LIKE THIS,90,2013
Ace Hood Featuring Future & Rick Ross,BUGATTI,91,2013
Hunter Hayes,WANTED,92,2013
Lady Antebellum,DOWNTOWN,93,2013
Florida Georgia Line,GET YOUR SHINE ON,94,2013
will.i.am Featuring Justin Bieber,#THATPOWER,95,2013
Sara Bareilles,BRAVE,96,2013
Passenger,LET HER GO,97,2013
Randy Houser,RUNNIN' OUTTA MOONLIGHT,98,2013
2 Chainz,I'M DIFFERENT,99,2013
Pharrell Williams,HAPPY,1,2014
Katy Perry Featuring Juicy J,DARK HORSE,2,2014
John Legend,ALL OF ME,3,2014
Iggy Azalea Featuring Charli XCX,FANCY,4,2014
OneRepublic,COUNTING STARS,5,2014
Jason Derulo Featuring 2 Chainz,TALK DIRTY,6,2014
MAGIC!,RUDE,7,2014
Meghan Trainor,ALL ABOUT THAT BASS,8,2014
Ariana Grande Featuring Iggy Azalea,PROBLEM,9,2014
Sam Smith,STAY WITH ME,10,2014
Pitbull Featuring Ke$ha,TIMBER,11,2014
Bastille,POMPEII,12,2014
Taylor Swift,SHAKE IT OFF,13,2014
Nico & Vinz,AM I WRONG,14,2014
DJ Snake & Lil Jon,TURN DOWN FOR WHAT,15,2014
Eminem Featuring Rihanna,THE MONSTER,16,2014
A Great Big World & Christina Aguilera,SAY SOMETHING,17,2014
Lorde,TEAM,18,2014
Passenger,LET HER GO,19,2014
Lorde,ROYALS,20,2014
Idina Menzel,LET IT GO,21,2014
Avicii,WAKE ME UP!,22,2014
Imagine Dragons,DEMONS,23,2014
One Direction,STORY OF MY LIFE,24,2014
Sia,CHANDELIER,25,2014
Iggy Azalea Featuring Rita Ora,BLACK WIDOW,26,2014
"Jessie J, Ariana Grande & Nicki Minaj",BANG BANG,27,2014
Disclosure Featuring Sam Smith,LATCH,28,2014
Maroon 5,MAPS,29,2014
Chris Brown Featuring Lil Wayne & French Montana Or Too $hort Or Tyga,LOYAL,30,2014
American Authors,BEST DAY OF MY LIFE,31,2014
Tove Lo,HABITS (STAY HIGH),32,2014
Calvin Harris,SUMMER,33,2014
Charli XCX,BOOM CLAP,34,2014
Beyonce Featuring Jay Z,DRUNK IN LOVE,35,2014
Nicki Minaj,ANACONDA,36,2014
Ariana Grande Featuring Zedd,BREAK FREE,37,2014
Enrique Iglesias Featuring Descemer Bueno & Gente de Zona,BAILANDO,38,2014
Ellie Goulding,BURN,39,2014
Jason Derulo Featuring Snoop Dogg,WIGGLE,40,2014
Clean Bandit Featuring Jess Glynne,RATHER BE,41,2014
Jeremih Featuring YG,DON'T TELL 'EM,42,2014
Kid Ink Featuring Chris Brown,SHOW ME,43,2014
Miley Cyrus,WRECKING BALL,44,2014
Justin Timberlake,NOT A BAD THING,45,2014
Katy Perry,ROAR,46,2014
Paramore,AIN'T IT FUN,47,2014
Aloe Blacc,THE MAN,48,2014
Florida Georgia Line Featuring Luke Bryan,THIS IS HOW WE ROLL,49,2014
MKTO,CLASSIC,50,2014
Coldplay,A SKY FULL OF STARS,51,2014
Ed Sheeran,DON'T,52,2014
Trey Songz,NA NA,53,2014
Bobby Shmurda,HOT BOY,54,2014
Drake Featuring Majid Jordan,"HOLD ON, WE'RE GOING HOME",55,2014
Ed Sheeran,SING,56,2014
Imagine Dragons,RADIOACTIVE,57,2014
YG Featuring Jeezy & Rich Homie Quan,MY HITTA,58,2014
Echosmith,COOL KIDS,59,2014
Avicii,HEY BROTHER,60,2014
Jason Derulo,TRUMPETS,61,2014
Maroon 5,ANIMALS,62,2014
Jason Aldean,BURNIN' IT DOWN,63,2014
Luke Bryan,PLAY IT AGAIN,64,2014
Tinashe Featuring ScHoolboy Q,2 ON,65,2014
Florida Georgia Line,DIRT,66,2014
OneRepublic,LOVE RUNS OUT,67,2014
Brantley Gilbert,BOTTOMS UP,68,2014
Becky G,SHOWER,69,2014
Rixton,ME AND MY BROKEN HEART,70,2014
Martin Garrix,ANIMALS,71,2014
Rich Gang Featuring Young Thug & Rich Homie Quan,LIFESTYLE,72,2014
Kenny Chesney,AMERICAN KIDS,73,2014
Sara Bareilles,BRAVE,74,2014
The Neighbourhood,SWEATER WEATHER,75,2014
Sam Hunt,LEAVE THE NIGHT ON,76,2014
Chris Brown Featuring Usher & Rick Ross,NEW FLAME,77,2014
Michael Jackson & Justin Timberlake,LOVE NEVER FELT SO GOOD,78,2014
Dierks Bentley,DRUNK ON A PLANE,79,2014
Katy Perry,BIRTHDAY,80,2014
Lady Antebellum,BARTENDER,81,2014
Naughty Boy Featuring Sam Smith,LA LA LA,82,2014
Robin Thicke Featuring T.I. + Pharrell,BLURRED LINES,83,2014
Lady Gaga Featuring R. Kelly,DO WHAT U WANT,84,2014
Shakira Featuring Rihanna,CAN'T REMEMBER TO FORGET YOU,85,2014
5 Seconds Of Summer,AMNESIA,86,2014
T.I. Featuring Iggy Azalea,NO MEDIOCRE,87,2014
KONGOS,COME WITH ME NOW,88,2014
Lil Wayne Featuring Drake,BELIEVE ME,89,2014
"Mike WiLL Made-It Featuring Miley Cyrus, Wiz Khalifa & Juicy J",23,90,2014
Jake Owen,BEACHIN',91,2014
Macklemore & Ryan Lewis Featuring ScHoolboy Q & Hollis,WHITE WALLS,92,2014
5 Seconds Of Summer,SHE LOOKS SO PERFECT,93,2014
Zedd Featuring Hayley Williams,STAY THE NIGHT,94,2014
Beyonce,PARTITION,95,2014
ScHoolboy Q Featuring BJ The Chicago Kid,STUDIO,96,2014
Drake,0 TO 100 / THE CATCH UP,97,2014
Lee Brice,I DON'T DANCE,98,2014
Miranda Lambert Duet With Carrie Underwood,SOMETHIN' BAD,99,2014
Mark Ronson Featuring Bruno Mars,UPTOWN FUNK!,1,2015
Ed Sheeran,THINKING OUT LOUD,2,2015
Wiz Khalifa Featuring Charlie Puth,SEE YOU AGAIN,3,2015
Fetty Wap,TRAP QUEEN,4,2015
Maroon 5,SUGAR,5,2015
WALK THE MOON,SHUT UP AND DANCE,6,2015
Taylor Swift,BLANK SPACE,7,2015
Silento,WATCH ME,8,2015
The Weeknd,EARNED IT (FIFTY SHADES OF GREY),9,2015
The Weeknd,THE HILLS,10,2015
OMI,CHEERLEADER,11,2015
The Weeknd,CAN'T FEEL MY FACE,12,2015
Ellie Goulding,LOVE ME LIKE YOU DO,13,2015
Hozier,TAKE ME TO CHURCH,14,2015
Taylor Swift Featuring Kendrick Lamar,BAD BLOOD,15,2015
Major Lazer & DJ Snake Featuring M0,LEAN ON,16,2015
Jason Derulo,WANT TO WANT ME,17,2015
Taylor Swift,SHAKE IT OFF,18,2015
Skrillex & Diplo With Justin Bieber,WHERE ARE U NOW,19,2015
Rachel Platten,FIGHT SONG,20,2015
Fetty Wap Featuring Remy Boyz,679,21,2015
Meghan Trainor,LIPS ARE MOVIN,22,2015
Fifth Harmony Featuring Kid Ink,WORTH IT,23,2015
Omarion Featuring Chris Brown & Jhene Aiko,POST TO BE,24,2015
Andy Grammer,"HONEY, I'M GOOD.",25,2015
Sam Smith,I'M NOT THE ONLY ONE,26,2015
Selena Gomez Featuring A$AP Rocky,GOOD FOR YOU,27,2015
Meghan Trainor,ALL ABOUT THAT BASS,28,2015
Taylor Swift,STYLE,29,2015
Drake,HOTLINE BLING,30,2015
"David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack",HEY MAMA,31,2015
Flo Rida Featuring Sage The Gemini & Lookas,G.D.F.R.,32,2015
Justin Bieber,WHAT DO YOU MEAN?,33,2015
Ed Sheeran,PHOTOGRAPH,34,2015
Adele,HELLO,35,2015
Shawn Mendes,STITCHES,36,2015
Tove Lo,TALKING BODY,37,2015
Nick Jonas,JEALOUS,38,2015
Pitbull & Ne-Yo,TIME OF OUR LIVES,39,2015
R. City Featuring Adam Levine,LOCKED AWAY,40,2015
Natalie La Rose Featuring Jeremih,SOMEBODY,41,2015
Rihanna & Kanye West & Paul McCartney,FOURFIVESECONDS,42,2015
Fall Out Boy,CENTURIES,43,2015
Fetty Wap Featuring Monty,MY WAY,44,2015
Sam Hunt,TAKE YOUR TIME,45,2015
Maroon 5,ANIMALS,46,2015
Big Sean Featuring E-40,I DON'T F**K WITH YOU,47,2015
Rihanna,B**** BETTER HAVE MY MONEY,48,2015
Rich Homie Quan,FLEX (OOH OOH OOH),49,2015
T-Wayne,NASTY FREESTYLE,50,2015
"Nicki Minaj Featuring Drake, Lil Wayne & Chris Brown",ONLY,51,2015
Sia,ELASTIC HEART,52,2015
Demi Lovato,COOL FOR THE SUMMER,53,2015
X Ambassadors,RENEGADES,54,2015
Usher Featuring Juicy J,I DON'T MIND,55,2015
Ariana Grande & The Weeknd,LOVE ME HARDER,56,2015
Taylor Swift,WILDEST DREAMS,57,2015
Sam Smith,STAY WITH ME,58,2015
DJ Snake & AlunaGeorge,YOU KNOW YOU LIKE IT,59,2015
Fall Out Boy,UMA THURMAN,60,2015
Beyonce,11-Jul,61,2015
Selena Gomez,THE HEART WANTS WHAT IT WANTS,62,2015
Little Big Town,GIRL CRUSH,63,2015
Trey Songz,SLOW MOTION,64,2015
One Direction,DRAG ME DOWN,65,2015
Nicki Minaj Featuring Drake & Lil Wayne,TRUFFLE BUTTER,66,2015
Ariana Grande,ONE LAST TIME,67,2015
Nick Jonas,CHAINS,68,2015
Meek Mill Featuring Chris Brown & Nicki Minaj,ALL EYES ON YOU,69,2015
Rae Sremmurd,NO TYPE,70,2015
Vance Joy,RIPTIDE,71,2015
Jidenna Featuring Roman GianArthur,CLASSIC MAN,72,2015
Elle King,EX'S & OH'S,73,2015
Meghan Trainor,DEAR FUTURE HUSBAND,74,2015
Charlie Puth Featuring Meghan Trainor,MARVIN GAYE,75,2015
Meghan Trainor Featuring John Legend,LIKE I'M GONNA LOSE YOU,76,2015
Tove Lo,HABITS (STAY HIGH),77,2015
James Newton Howard Featuring Jennifer Lawrence,THE HANGING TREE,78,2015
O.T. Genasis,COCO,79,2015
"Jessie J, Ariana Grande & Nicki Minaj",BANG BANG,80,2015
Sam Smith,LAY ME DOWN,81,2015
I LOVE MAKONNEN Featuring Drake,TUESDAY,82,2015
iLoveMemphis,HIT THE QUAN,83,2015
"Macklemore & Ryan Lewis Featuring Eric Nally, Melle Mel, Kool Moe Dee & Grandmaster Caz",DOWNTOWN,84,2015
Sam Hunt,HOUSE PARTY,85,2015
Chris Brown & Tyga,AYO,86,2015
Luke Bryan,KICK THE DUST UP,87,2015
Big Sean Featuring Drake,BLESSINGS,88,2015
George Ezra,BUDAPEST,89,2015
Sia,CHANDELIER,90,2015
Kelly Clarkson,HEARTBEAT SONG,91,2015
Ed Sheeran,DON'T,92,2015
Ella Henderson,GHOST,93,2015
Alessia Cara,HERE,94,2015
Mr. Probz,WAVES,95,2015
Nicky Jam & Enrique Iglesias,EL PERDON (FORGIVENESS),96,2015
Ne-Yo Featuring Juicy J,SHE KNOWS,97,2015
One Direction,NIGHT CHANGES,98,2015
Drake,BACK TO BACK,99,2015
Justin Bieber,LOVE YOURSELF,1,2016
Justin Bieber,SORRY,2,2016
Drake Featuring WizKid & Kyla,ONE DANCE,3,2016
Rihanna Featuring Drake,WORK,4,2016
twenty one pilots,STRESSED OUT,5,2016
Desiigner,PANDA,6,2016
Adele,HELLO,7,2016
The Chainsmokers Featuring Daya,DON'T LET ME DOWN,8,2016
Justin Timberlake,CAN'T STOP THE FEELING!,9,2016
The Chainsmokers Featuring Halsey,CLOSER,10,2016
Sia Featuring Sean Paul,CHEAP THRILLS,11,2016
Lukas Graham,7 YEARS,12,2016
Rihanna,NEEDED ME,13,2016
Flo Rida,MY HOUSE,14,2016
Mike Posner,I TOOK A PILL IN IBIZA,15,2016
Fifth Harmony Featuring Ty Dolla $ign,WORK FROM HOME,16,2016
Calvin Harris Featuring Rihanna,THIS IS WHAT YOU CAME FOR,17,2016
DNCE,CAKE BY THE OCEAN,18,2016
G-Eazy x Bebe Rexha,"ME, MYSELF & I",19,2016
twenty one pilots,RIDE,20,2016
twenty one pilots,HEATHENS,21,2016
Zayn,PILLOWTALK,22,2016
Shawn Mendes,STITCHES,23,2016
Drake,HOTLINE BLING,24,2016
Major Lazer Featuring Justin Bieber & MO,COLD WATER,25,2016
Adele,SEND MY LOVE (TO YOUR NEW LOVER),26,2016
The Chainsmokers Featuring Rozes,ROSES,27,2016
Shawn Mendes,TREAT YOU BETTER,28,2016
Drake Featuring Rihanna,TOO GOOD,29,2016
Future Featuring The Weeknd,LOW LIFE,30,2016
Justin Bieber,WHAT DO YOU MEAN?,31,2016
The Weeknd,THE HILLS,32,2016
P!nk,JUST LIKE FIRE,33,2016
D.R.A.M. Featuring Lil Yachty,BROCCOLI,34,2016
Bryson Tiller,DON'T,35,2016
Ariana Grande,DANGEROUS WOMAN,36,2016
Drake & Future,JUMPMAN,37,2016
gnash Featuring Olivia O'Brien,I HATE U I LOVE U,38,2016
Alessia Cara,HERE,39,2016
Selena Gomez,SAME OLD LOVE,40,2016
Drake,CONTROLLA,41,2016
Meghan Trainor Featuring John Legend,LIKE I'M GONNA LOSE YOU,42,2016
Charlie Puth,ONE CALL AWAY,43,2016
James Bay,LET IT GO,44,2016
Meghan Trainor,NO,45,2016
Zara Larsson & MNEK,NEVER FORGET YOU,46,2016
DJ Snake Featuring Justin Bieber,LET ME LOVE YOU,47,2016
Kent Jones,DON'T MIND,48,2016
Florida Georgia Line,H.O.L.Y.,49,2016
Charlie Puth Featuring Selena Gomez,WE DON'T TALK ANYMORE,50,2016
Ariana Grande,INTO YOU,51,2016
Kiiara,GOLD,52,2016
