artists,name,ranking,year
Foals,MOUNTAIN AT MY GATES,48,2016
BORNS,ELECTRIC LOVE,49,2016
Kings Of Leon,WASTE A MOMENT,50,2016
Phantogram,YOU DON'T GET ME HIGH ANYMORE,51,2016
Nothing But Thieves,TRIP SWITCH,52,2016
twenty one pilots,CANCER,53,2016
The Struts,KISS THIS,54,2016
Vance Joy,FIRE AND THE FLOOD,55,2016
Five Finger Death Punch,WASH IT ALL AWAY,56,2016
Panic! At The Disco,LA DEVOTEE,57,2016
Disturbed,THE LIGHT,58,2016
Eagles,HOTEL CALIFORNIA,59,2016
Young The Giant,SOMETHING TO BELIEVE IN,60,2016
Goo Goo Dolls,SO ALIVE,61,2016
Queen & David Bowie,UNDER PRESSURE,62,2016
AWOLNATION,WOMAN WOMAN,63,2016
Glass Animals,LIFE ITSELF,64,2016
Metallica,HARDWIRED,65,2016
David Bowie,SPACE ODDITY,66,2016
NEEDTOBREATHE,HAPPINESS,67,2016
David Bowie,LAZARUS,68,2016
Grouplove,WELCOME TO YOUR LIFE,69,2016
Bring Me The Horizon,HAPPY SONG,70,2016
Shinedown,ASKING FOR IT,71,2016
Zach Williams,CHAIN BREAKER,72,2016
Five Finger Death Punch,I APOLOGIZE,73,2016
Tame Impala,THE LESS I KNOW THE BETTER,74,2016
Coldplay,UP&UP,75,2016
Alabama Shakes,SOUND & COLOR,76,2016
BANNERS,START A RIOT,77,2016
JR JR,GONE,78,2016
twenty one pilots,GONER,79,2016
Coldplay,VIVA LA VIDA,80,2016
The Pretty Reckless,TAKE ME DOWN,81,2016
KONGOS,TAKE IT FROM ME,82,2016
Judah & The Lion,TAKE IT ALL BACK,83,2016
Korn,ROTTING IN VAIN,84,2016
twenty one pilots,WE DON'T BELIEVE WHAT'S ON TV,85,2016
Weezer,THANK GOD FOR GIRLS,86,2016
Coleman Hell,2 HEADS,87,2016
Coldplay,EVERGLOW,88,2016
twenty one pilots,MESSAGE MAN,89,2016
The 1975,LOVE ME,90,2016
Radiohead,BURN THE WITCH,91,2016
Blink-182,SHE'S OUT OF HER MIND,92,2016
Chris Cornell,NEARLY FORGOT MY BROKEN HEART,93,2016
Imagine Dragons,ROOTS,94,2016
Bring Me The Horizon,THRONE,95,2016
Foo Fighters,SAINT CECILIA,96,2016
Death Cab For Cutie,THE GHOSTS OF BEVERLY DRIVE,97,2016
The 1975,UGH!,98,2016
David Bowie,LET'S DANCE,99,2016
Simon & Garfunkel,THE SOUND OF SILENCE,100,2016
Sawyer Fredericks,PLEASE,100,2015
Avenged Sevenfold,THIS MEANS WAR,100,2014
Mumford & Sons,HOPELESS WANDERER,100,2013
Van Halen,SHE'S THE WOMAN,100,2012
